,Emergence,SIA,summed_probabilities,numSIA
384,CAF-BAM-1,NGA-2018-023,0,54
385,CAF-BAM-1,NGA-2018-025,0,55
386,CAF-BAM-1,NGA-2019-004,0,56
387,CAF-BAM-1,NGA-2019-007,0,57
388,CAF-BAM-1,NGA-2019-019,0,58
389,CAF-BAM-1,NGA-2019-024,0,59
390,CAF-BAM-1,SDN-2016-001,0,60
391,CAF-BAM-1,SOM-2017-011,0,61
392,CAF-BAM-1,SOM-2018-004,0,62
393,CAF-BAM-1,SOM-2018-007,0,63
394,CAF-BAM-1,SOM-2018-008,0,64
395,CAF-BAM-1,SOM-2018-009,0,65
396,CAF-BAM-1,SOM-2018-011,0,66
397,CAF-BAM-2,CAF-2019-005,0,1
398,CAF-BAM-2,COD-2016-001,0,2
399,CAF-BAM-2,COD-2017-006,0,3
400,CAF-BAM-2,COD-2017-007,0,4
401,CAF-BAM-2,COD-2017-009,0,5
402,CAF-BAM-2,COD-2017-011,0,6
403,CAF-BAM-2,COD-2017-014,0,7
404,CAF-BAM-2,COD-2018-005,0,8
405,CAF-BAM-2,COD-2018-009,0,9
406,CAF-BAM-2,COD-2018-010,0,10
407,CAF-BAM-2,COD-2018-011,0.03545,11
408,CAF-BAM-2,COD-2018-013,0,12
409,CAF-BAM-2,COD-2018-014,0.483975,13
410,CAF-BAM-2,COD-2018-015,0.475975,14
411,CAF-BAM-2,COD-2018-016,0,15
412,CAF-BAM-2,COD-2018-017,0.0046,16
413,CAF-BAM-2,COD-2019-003,0,17
414,CAF-BAM-2,COD-2019-012,0,18
415,CAF-BAM-2,COD-2019-013,0,19
416,CAF-BAM-2,COD-2019-015,0,20
417,CAF-BAM-2,COD-2019-016,0,21
418,CAF-BAM-2,COG-2016-005,0,22
419,CAF-BAM-2,ETH-2016-002,0,23
420,CAF-BAM-2,ETH-2018-003,0,24
421,CAF-BAM-2,ETH-2018-004,0,25
422,CAF-BAM-2,KEN-2018-003,0,26
423,CAF-BAM-2,KEN-2018-004,0,27
424,CAF-BAM-2,MOZ-2017-002,0,28
425,CAF-BAM-2,MOZ-2019-001,0,29
426,CAF-BAM-2,MOZ-2019-002,0,30
427,CAF-BAM-2,MOZ-2019-003,0,31
428,CAF-BAM-2,MOZ-2019-004,0,32
429,CAF-BAM-2,NER-2016-001,0,33
430,CAF-BAM-2,NER-2017-012,0,34
431,CAF-BAM-2,NER-2018-005,0,35
432,CAF-BAM-2,NER-2018-006,0,36
433,CAF-BAM-2,NER-2018-008,0,37
434,CAF-BAM-2,NGA-2016-018,0,38
435,CAF-BAM-2,NGA-2016-019,0,39
436,CAF-BAM-2,NGA-2016-021,0,40
437,CAF-BAM-2,NGA-2016-024,0,41
438,CAF-BAM-2,NGA-2016-025,0,42
439,CAF-BAM-2,NGA-2016-034,0,43
440,CAF-BAM-2,NGA-2017-020,0,44
441,CAF-BAM-2,NGA-2017-021,0,45
442,CAF-BAM-2,NGA-2017-024,0,46
443,CAF-BAM-2,NGA-2018-012,0,47
444,CAF-BAM-2,NGA-2018-014,0,48
445,CAF-BAM-2,NGA-2018-017,0,49
446,CAF-BAM-2,NGA-2018-018,0,50
447,CAF-BAM-2,NGA-2018-019,0,51
448,CAF-BAM-2,NGA-2018-020,0,52
449,CAF-BAM-2,NGA-2018-022,0,53
450,CAF-BAM-2,NGA-2018-023,0,54
451,CAF-BAM-2,NGA-2018-025,0,55
452,CAF-BAM-2,NGA-2019-004,0,56
453,CAF-BAM-2,NGA-2019-007,0,57
454,CAF-BAM-2,NGA-2019-019,0,58
455,CAF-BAM-2,NGA-2019-024,0,59
456,CAF-BAM-2,SDN-2016-001,0,60
457,CAF-BAM-2,SOM-2017-011,0,61
458,CAF-BAM-2,SOM-2018-004,0,62
459,CAF-BAM-2,SOM-2018-007,0,63
460,CAF-BAM-2,SOM-2018-008,0,64
461,CAF-BAM-2,SOM-2018-009,0,65
462,CAF-BAM-2,SOM-2018-011,0,66
463,CAF-BER-1,CAF-2019-005,0,1
464,CAF-BER-1,COD-2016-001,0,2
465,CAF-BER-1,COD-2017-006,0,3
466,CAF-BER-1,COD-2017-007,0,4
467,CAF-BER-1,COD-2017-009,0,5
468,CAF-BER-1,COD-2017-011,0,6
469,CAF-BER-1,COD-2017-014,0,7
470,CAF-BER-1,COD-2018-005,0,8
471,CAF-BER-1,COD-2018-009,0,9
472,CAF-BER-1,COD-2018-010,0,10
473,CAF-BER-1,COD-2018-011,0.00655,11
474,CAF-BER-1,COD-2018-013,0,12
475,CAF-BER-1,COD-2018-014,0.429575,13
476,CAF-BER-1,COD-2018-015,0.538725,14
477,CAF-BER-1,COD-2018-016,0,15
478,CAF-BER-1,COD-2018-017,0.02515,16
479,CAF-BER-1,COD-2019-003,0,17
480,CAF-BER-1,COD-2019-012,0,18
481,CAF-BER-1,COD-2019-013,0,19
482,CAF-BER-1,COD-2019-015,0,20
483,CAF-BER-1,COD-2019-016,0,21
484,CAF-BER-1,COG-2016-005,0,22
485,CAF-BER-1,ETH-2016-002,0,23
486,CAF-BER-1,ETH-2018-003,0,24
487,CAF-BER-1,ETH-2018-004,0,25
488,CAF-BER-1,KEN-2018-003,0,26
489,CAF-BER-1,KEN-2018-004,0,27
490,CAF-BER-1,MOZ-2017-002,0,28
491,CAF-BER-1,MOZ-2019-001,0,29
492,CAF-BER-1,MOZ-2019-002,0,30
493,CAF-BER-1,MOZ-2019-003,0,31
494,CAF-BER-1,MOZ-2019-004,0,32
495,CAF-BER-1,NER-2016-001,0,33
496,CAF-BER-1,NER-2017-012,0,34
497,CAF-BER-1,NER-2018-005,0,35
498,CAF-BER-1,NER-2018-006,0,36
499,CAF-BER-1,NER-2018-008,0,37
500,CAF-BER-1,NGA-2016-018,0,38
501,CAF-BER-1,NGA-2016-019,0,39
502,CAF-BER-1,NGA-2016-021,0,40
503,CAF-BER-1,NGA-2016-024,0,41
504,CAF-BER-1,NGA-2016-025,0,42
505,CAF-BER-1,NGA-2016-034,0,43
506,CAF-BER-1,NGA-2017-020,0,44
507,CAF-BER-1,NGA-2017-021,0,45
508,CAF-BER-1,NGA-2017-024,0,46
509,CAF-BER-1,NGA-2018-012,0,47
510,CAF-BER-1,NGA-2018-014,0,48
511,CAF-BER-1,NGA-2018-017,0,49
512,CAF-BER-1,NGA-2018-018,0,50
513,CAF-BER-1,NGA-2018-019,0,51
514,CAF-BER-1,NGA-2018-020,0,52
515,CAF-BER-1,NGA-2018-022,0,53
516,CAF-BER-1,NGA-2018-023,0,54
517,CAF-BER-1,NGA-2018-025,0,55
518,CAF-BER-1,NGA-2019-004,0,56
519,CAF-BER-1,NGA-2019-007,0,57
520,CAF-BER-1,NGA-2019-019,0,58
521,CAF-BER-1,NGA-2019-024,0,59
522,CAF-BER-1,SDN-2016-001,0,60
523,CAF-BER-1,SOM-2017-011,0,61
524,CAF-BER-1,SOM-2018-004,0,62
525,CAF-BER-1,SOM-2018-007,0,63
526,CAF-BER-1,SOM-2018-008,0,64
527,CAF-BER-1,SOM-2018-009,0,65
528,CAF-BER-1,SOM-2018-011,0,66
529,CAF-BIM-1,CAF-2019-005,0,1
530,CAF-BIM-1,COD-2016-001,0,2
531,CAF-BIM-1,COD-2017-006,0,3
532,CAF-BIM-1,COD-2017-007,0,4
533,CAF-BIM-1,COD-2017-009,0,5
534,CAF-BIM-1,COD-2017-011,0,6
535,CAF-BIM-1,COD-2017-014,0,7
536,CAF-BIM-1,COD-2018-005,0,8
537,CAF-BIM-1,COD-2018-009,0,9
538,CAF-BIM-1,COD-2018-010,0,10
539,CAF-BIM-1,COD-2018-011,0.024975,11
540,CAF-BIM-1,COD-2018-013,0,12
541,CAF-BIM-1,COD-2018-014,0.55005,13
542,CAF-BIM-1,COD-2018-015,0.424875,14
543,CAF-BIM-1,COD-2018-016,0,15
544,CAF-BIM-1,COD-2018-017,1.00E-04,16
545,CAF-BIM-1,COD-2019-003,0,17
546,CAF-BIM-1,COD-2019-012,0,18
547,CAF-BIM-1,COD-2019-013,0,19
548,CAF-BIM-1,COD-2019-015,0,20
549,CAF-BIM-1,COD-2019-016,0,21
550,CAF-BIM-1,COG-2016-005,0,22
